Columna_A_Borrar,Adult Mortality,infant deaths,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Life expectancy
0,263.0,62,71.27962362,65.0,1154,19.1,83,6.0,65.0,0.1,584.25921,33736494.0,17.2,17.3,0.479,10.1,65.0
16,74.0,0,364.9752287,99.0,0,58.0,0,99.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,77.8
32,19.0,21,0.0,95.0,63,59.5,24,95.0,95.0,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4,75.6
48,335.0,66,0.0,64.0,118,23.3,98,7.0,64.0,1.9,3695.793748,2785935.0,8.3,8.2,0.531,11.4,52.4
64,13.0,0,0.0,99.0,0,47.7,0,86.0,99.0,0.2,13566.9541,,3.3,3.3,0.784,13.9,76.4
80,116.0,8,0.0,94.0,0,62.8,9,93.0,94.0,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3,76.3
96,118.0,1,0.0,94.0,33,54.9,1,96.0,94.0,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7,74.8
112,59.0,1,0.0,93.0,74,66.6,1,93.0,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,82.8
128,65.0,0,0.0,93.0,309,57.6,0,93.0,93.0,0.1,43665.947,8633169.0,1.9,2.1,0.892,15.9,81.5
144,118.0,5,0.0,96.0,0,52.5,6,98.0,96.0,0.1,55.31382,9649341.0,2.8,2.9,0.758,12.7,72.7
160,147.0,0,0.0,95.0,0,64.5,0,95.0,95.0,0.1,,,2.5,2.5,0.79,12.6,76.1
176,69.0,0,0.0,98.0,0,63.6,0,98.0,98.0,0.1,22688.87824,,6.2,6.1,0.823,14.5,76.9
192,129.0,92,0.0,97.0,240,18.3,113,97.0,97.0,0.1,121.15812,1612886.0,17.9,18.3,0.575,10.2,71.8
208,98.0,0,0.0,97.0,0,54.5,0,97.0,97.0,0.1,15557.8381,,3.8,3.7,0.794,15.3,75.5
224,196.0,0,0.0,99.0,2,62.3,0,99.0,99.0,0.1,5949.11677,9489616.0,1.9,2.0,0.798,15.6,72.3
240,74.0,0,0.0,98.0,47,63.7,1,99.0,99.0,0.1,4356.875,11274196.0,1.0,1.0,0.895,16.6,81.1
256,175.0,0,0.0,94.0,0,5.9,0,94.0,94.0,0.2,4849.997495,359288.0,3.5,3.4,0.706,12.8,71.0
272,249.0,25,0.0,82.0,55,25.7,39,78.0,82.0,1.0,783.94791,1575952.0,6.9,6.8,0.481,10.7,60.0
288,211.0,0,0.0,99.0,11,24.5,0,98.0,99.0,0.5,2613.645177,787386.0,15.4,16.0,0.604,12.5,69.8
304,186.0,8,0.0,99.0,0,52.6,10,99.0,99.0,0.1,,,1.2,1.1,0.671,13.8,77.0
320,88.0,0,0.0,82.0,1677,55.8,0,74.0,82.0,0.1,4574.9787,3535961.0,2.3,2.3,0.747,14.2,77.4
336,256.0,2,0.0,95.0,0,37.9,2,96.0,95.0,2.2,6532.651,229197.0,6.4,6.1,0.698,12.6,65.7
352,142.0,42,0.0,96.0,214,56.1,47,98.0,96.0,0.1,8757.2622,2596218.0,2.7,2.6,0.754,15.2,75.0
368,78.0,0,0.0,99.0,4,41.2,0,99.0,99.0,0.1,3967.8951,,5.7,5.1,0.864,14.9,77.7
384,137.0,0,0.0,92.0,0,65.7,1,91.0,91.0,0.1,6993.47736,7177991.0,1.9,1.8,0.792,15.0,74.5
400,26.0,38,0.0,91.0,99,19.4,61,91.0,91.0,0.6,615.592225,1811624.0,8.0,7.5,0.399,7.7,59.9
416,288.0,21,0.0,94.0,9,18.7,31,94.0,94.0,0.7,33.681223,119927.0,7.3,7.2,0.406,10.6,59.6
432,397.0,57,0.0,83.0,65,28.0,79,81.0,83.0,1.9,,,5.5,5.5,,,53.3
448,114.0,0,0.0,96.0,0,31.3,0,93.0,93.0,0.2,2954.119467,532913.0,6.6,6.6,0.646,13.5,73.3
464,174.0,10,0.0,89.0,0,19.6,12,87.0,89.0,0.2,1163.18977,15517635.0,1.9,1.9,0.558,10.9,68.7
480,357.0,45,0.0,84.0,1809,29.0,68,83.0,84.0,3.5,1244.429421,22834522.0,5.6,5.5,0.514,10.4,57.3
496,64.0,2,0.0,55.0,195,67.0,2,91.0,91.0,0.1,43315.744,3584861.0,0.6,0.5,0.919,16.3,82.2
512,397.0,15,0.0,47.0,150,22.7,21,47.0,47.0,4.4,348.381417,45461.0,8.2,8.2,0.347,7.1,52.5
528,356.0,46,0.0,46.0,418,19.1,77,52.0,46.0,2.8,777.248751,149413.0,8.5,8.4,0.394,7.3,53.1
544,82.0,2,0.0,97.0,9,63.8,2,96.0,96.0,0.1,13653.2264,17762681.0,0.8,0.8,0.845,16.3,85.0
560,85.0,157,0.0,99.0,42361,32.9,183,99.0,99.0,0.1,869.211938,137122.0,3.6,2.9,0.734,13.5,76.1
576,143.0,10,0.0,91.0,1,57.9,12,91.0,91.0,0.1,644.525556,48228697.0,2.1,1.9,0.724,13.6,74.8
592,227.0,1,0.0,91.0,0,24.2,2,92.0,91.0,0.8,727.6463868,777424.0,6.7,6.5,0.498,11.1,63.5
608,267.0,7,0.0,8.0,1359,27.4,10,8.0,8.0,2.8,,,7.5,7.1,0.59,11.1,64.7
625,95.0,1,0.0,92.0,0,6.5,1,92.0,92.0,0.1,1146.36273,487852.0,1.7,1.7,0.775,14.2,79.6
641,95.0,0,0.0,94.0,206,63.7,0,94.0,94.0,0.1,11579.6674,42364.0,1.5,1.4,0.823,15.3,78.0
657,92.0,1,0.0,99.0,0,61.4,1,99.0,99.0,0.1,762.261218,,3.5,3.3,0.773,13.9,79.1
673,52.0,0,0.0,97.0,0,6.3,0,97.0,97.0,0.1,2375.1127,116985.0,1.0,1.0,0.854,14.3,85.0
689,86.0,0,0.0,97.0,9,66.1,0,97.0,97.0,0.1,,,1.8,1.8,,,78.8
705,139.0,6,0.0,96.0,0,32.9,7,99.0,96.0,0.1,,,4.9,4.9,,,76.0
721,258.0,236,0.0,81.0,5020,21.6,308,78.0,81.0,1.1,,,9.5,9.3,,,59.8
737,71.0,0,0.0,,9,58.8,0,93.0,93.0,0.1,5314.64416,5683483.0,1.1,0.9,0.923,19.2,86.0
753,241.0,1,0.0,84.0,47,35.0,1,84.0,84.0,2.1,1862.167274,927414.0,5.6,5.4,0.47,6.3,63.5
770,152.0,6,0.0,81.0,0,58.9,7,87.0,85.0,0.3,6468.471648,1528394.0,3.3,3.2,0.718,13.2,73.9
786,118.0,6,0.0,78.0,0,54.2,7,84.0,78.0,0.1,625.62224,16144368.0,1.2,1.1,0.739,14.0,76.2
802,159.0,51,0.0,93.0,5432,61.1,60,93.0,93.0,0.1,,,2.8,2.8,0.688,13.1,79.0
818,178.0,2,0.0,91.0,0,56.1,2,92.0,91.0,0.2,4127.11775,6312478.0,1.6,1.5,0.678,13.2,73.5
834,32.0,3,0.0,16.0,1250,24.5,4,17.0,16.0,4.2,1347.31257,1175389.0,8.4,8.3,0.582,9.2,58.2
850,255.0,5,0.0,95.0,198,18.6,7,95.0,95.0,0.4,,,8.4,8.2,0.418,5.0,64.7
866,119.0,0,0.0,91.0,4,59.9,0,93.0,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5,77.6
882,225.0,136,0.0,77.0,17745,17.6,194,75.0,77.0,0.6,645.4637627,9987333.0,1.4,1.2,0.441,8.4,64.8
898,188.0,0,0.0,99.0,0,62.7,0,99.0,99.0,0.1,4921.89629,892149.0,4.0,3.7,0.734,15.3,69.9
914,76.0,0,0.0,,2,62.1,0,97.0,97.0,0.1,4245.39744,5479531.0,0.9,0.8,0.893,17.0,81.1
930,78.0,2,0.0,86.0,157,62.5,3,98.0,98.0,0.1,36526.7711,6662468.0,0.7,0.6,0.894,16.3,82.4
946,229.0,2,0.0,8.0,27,36.3,3,79.0,8.0,2.7,7388.984144,193175.0,6.1,5.9,0.694,12.6,66.0
962,262.0,3,0.0,97.0,71,27.3,5,96.0,97.0,1.7,,,7.3,7.2,0.45,8.9,61.1
978,129.0,1,0.0,94.0,431,56.2,1,91.0,94.0,0.1,3764.64912,37171.0,2.7,2.8,0.768,13.9,74.4
994,68.0,2,0.0,88.0,2464,62.3,3,94.0,95.0,0.1,41176.88158,81686611.0,1.1,1.1,0.924,17.1,81.0
1010,249.0,37,0.0,88.0,23,28.6,52,88.0,88.0,0.7,1361.11395,27582821.0,6.2,6.1,0.575,11.4,62.4
1026,72.0,0,0.0,96.0,1,66.5,0,99.0,99.0,0.1,187.78991,182883.0,0.8,0.7,0.865,17.2,81.0
1042,142.0,0,0.0,92.0,0,48.4,0,99.0,92.0,0.1,9212.192824,,3.8,3.8,0.751,15.8,73.6
1058,186.0,10,0.0,74.0,0,5.6,12,9.0,74.0,0.4,3923.573344,16252429.0,1.2,1.2,0.637,10.7,71.9
1074,284.0,26,0.0,54.0,243,23.3,40,42.0,54.0,0.5,554.48766,1291533.0,7.3,7.3,0.414,8.8,59.0
1090,275.0,4,0.0,87.0,153,26.3,6,87.0,87.0,3.2,596.8717189,177526.0,7.1,7.0,0.421,9.2,58.9
1106,215.0,0,0.0,95.0,0,46.7,1,92.0,95.0,0.3,4136.689919,768514.0,5.5,5.3,0.638,10.3,66.2
1122,24.0,14,0.0,6.0,0,49.9,18,56.0,6.0,0.5,814.5463952,171161.0,3.9,3.9,0.49,9.1,63.5
1138,147.0,3,0.0,97.0,0,51.0,4,97.0,97.0,0.3,2326.15856,896829.0,2.1,2.1,0.623,11.2,74.6
1154,134.0,0,0.0,,0,64.8,0,99.0,99.0,0.1,12365.6263,984328.0,1.6,1.6,0.834,15.6,75.8
1170,49.0,0,0.0,,0,61.0,0,92.0,92.0,0.1,5734.4436,33815.0,1.0,0.9,0.919,19.0,82.7
1186,181.0,910,0.0,87.0,90387,18.7,1100,86.0,87.0,0.2,1613.18878,1395398.0,26.7,27.3,0.615,11.6,68.3
1202,176.0,114,0.0,78.0,15099,27.4,136,8.0,78.0,0.3,3336.16686,258162113.0,1.4,1.2,0.686,12.9,69.1
1218,83.0,18,0.0,98.0,615,59.7,21,98.0,98.0,0.1,,,8.5,8.6,0.774,14.8,75.5
1234,182.0,32,0.0,56.0,1433,59.1,38,63.0,58.0,0.1,4974.2693,36115649.0,5.3,5.1,0.649,10.1,68.9
1250,64.0,0,0.0,95.0,4,62.8,0,95.0,95.0,0.1,6664.144,4676835.0,0.3,0.2,0.92,18.6,81.4
1266,58.0,0,0.0,96.0,80,64.9,1,95.0,95.0,0.1,35729.37253,8381.0,1.2,1.1,0.898,16.0,82.5
1282,56.0,1,0.0,93.0,159,63.6,2,93.0,93.0,0.1,349.14755,673582.0,0.6,0.6,0.881,16.3,82.7
1298,125.0,1,0.0,91.0,0,54.2,1,91.0,91.0,0.5,4965.989857,2871934.0,1.8,1.7,0.729,12.8,76.2
1314,55.0,2,0.0,,35,29.0,3,99.0,96.0,0.1,34474.13736,127141.0,2.1,1.8,0.902,15.3,83.7
1330,112.0,4,0.0,99.0,0,65.6,4,99.0,99.0,0.1,496.99275,915932.0,4.0,4.0,0.741,13.1,74.1
1346,198.0,4,0.0,98.0,526,53.1,5,98.0,98.0,0.1,159.9817,17544126.0,2.4,2.5,0.793,15.0,72.0
1362,249.0,54,0.0,89.0,95,22.0,75,83.0,89.0,2.8,1349.97144,47236259.0,7.8,7.6,0.55,11.1,63.4
1378,198.0,0,0.0,82.0,0,77.6,0,8.0,78.0,0.1,1424.483611,11247.0,0.1,0.1,0.586,11.9,66.3
1394,81.0,0,0.0,99.0,18,71.4,1,99.0,99.0,0.1,28975.418,,3.5,3.4,0.799,13.3,74.7
1410,166.0,3,0.0,97.0,17779,44.9,3,97.0,97.0,0.1,,,3.3,3.4,0.662,13.0,71.1
1426,194.0,8,0.0,89.0,56,21.7,11,89.0,89.0,0.2,,,8.8,8.9,0.582,10.8,65.7
1442,153.0,0,0.0,94.0,0,61.2,0,95.0,95.0,0.1,13666.58336,1977527.0,2.2,2.1,0.828,16.0,74.6
1458,98.0,1,0.0,81.0,39,66.1,1,75.0,81.0,0.1,846.632851,5851479.0,4.9,4.9,0.763,13.3,74.9
1474,484.0,4,0.0,93.0,0,32.6,6,9.0,93.0,9.3,173.82893,2174645.0,5.5,5.3,0.495,10.7,53.7
1490,259.0,8,0.0,52.0,1060,27.3,11,52.0,52.0,0.9,452.38717,4499621.0,6.5,6.4,0.427,9.9,61.4
1506,138.0,1,0.0,97.0,82,64.8,2,97.0,97.0,0.1,,,5.8,5.5,0.719,13.4,72.7
1522,165.0,0,0.0,94.0,50,62.4,0,93.0,93.0,0.1,14252.42853,29491.0,2.6,2.6,0.846,16.5,73.6
1538,63.0,0,0.0,94.0,0,61.3,0,99.0,99.0,0.1,1199.8223,56964.0,1.0,0.9,0.896,13.9,82.0
1554,22.0,28,0.0,69.0,3,2.5,38,71.0,69.0,0.3,41.8575951,2423488.0,7.1,7.1,0.511,10.3,65.5
1570,365.0,26,0.0,88.0,0,19.6,38,88.0,88.0,4.8,362.6575444,1757367.0,6.4,6.2,0.473,10.8,58.3
1586,123.0,4,0.0,99.0,1318,4.6,4,99.0,99.0,0.1,9643.644683,3723155.0,7.5,7.3,0.787,13.1,75.0
1602,61.0,0,0.0,99.0,0,27.4,0,99.0,99.0,0.1,8395.785198,49163.0,13.6,13.6,0.701,12.7,78.5
1618,266.0,52,0.0,64.0,215,23.8,84,66.0,64.0,1.5,729.725338,1746795.0,7.7,7.5,0.438,8.4,58.2
1634,54.0,0,0.0,95.0,2,69.6,0,97.0,97.0,0.1,23819.4636,431874.0,0.8,0.8,0.853,14.6,81.7
1651,25.0,8,0.0,73.0,1,3.8,12,67.0,73.0,0.9,1158.256469,4182341.0,7.8,7.5,0.513,8.5,63.1
1667,146.0,0,0.0,97.0,0,33.3,0,98.0,97.0,0.1,9252.11724,126265.0,6.9,6.8,0.779,15.2,74.6
1683,122.0,30,0.0,82.0,0,63.5,35,87.0,87.0,0.1,9143.128494,12589949.0,1.5,1.5,0.758,13.3,76.7
1699,166.0,0,0.0,78.0,0,69.4,0,71.0,72.0,0.1,,,0.2,0.2,0.637,11.7,69.4
1716,222.0,1,0.0,99.0,20359,52.7,1,99.0,99.0,0.1,3944.1839,2976877.0,2.2,2.3,0.733,14.8,68.8
1732,16.0,0,0.0,82.0,0,61.8,0,89.0,89.0,0.1,6461.192554,622159.0,1.8,1.8,0.804,15.1,76.1
1748,95.0,17,0.0,99.0,17,58.5,20,99.0,99.0,0.1,2847.285569,3483322.0,6.4,6.2,0.645,12.1,74.3
1764,355.0,60,0.0,8.0,79,22.6,81,8.0,8.0,3.9,528.3125597,281691.0,3.6,3.5,0.414,9.1,57.6
1780,199.0,39,0.0,89.0,6,23.8,50,89.0,89.0,0.3,1194.59137,5243669.0,12.8,13.0,0.552,9.1,66.6
1796,248.0,2,0.0,92.0,212,35.7,3,92.0,92.0,2.1,4737.66996,2425561.0,8.2,8.1,0.637,11.7,65.8
1813,165.0,17,0.0,91.0,1599,19.1,21,9.0,91.0,0.1,743.7653489,28656282.0,15.7,16.1,0.555,12.2,69.2
1829,57.0,1,0.0,94.0,7,62.1,1,95.0,95.0,0.1,44292.88473,16939923.0,1.0,0.9,0.923,18.1,81.9
1845,66.0,0,0.0,92.0,10,67.5,0,92.0,92.0,0.1,3821.8937,,0.4,0.3,0.913,19.2,81.6
1861,145.0,2,0.0,98.0,0,54.0,2,99.0,98.0,0.1,295.966488,68235.0,1.8,1.7,0.642,11.7,74.8
1877,22.0,49,0.0,65.0,7693,19.3,87,65.0,65.0,0.4,358.99731,19896965.0,9.6,9.4,0.351,5.4,61.8
1893,344.0,483,0.0,49.0,12423,25.4,747,49.0,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0,54.5
1910,59.0,0,0.0,,14,61.2,0,95.0,95.0,0.1,7455.24654,518867.0,0.8,0.7,0.948,17.7,81.8
1926,99.0,1,0.0,99.0,0,54.6,1,99.0,99.0,0.1,16627.36433,,7.1,6.9,0.795,13.7,76.6
1942,161.0,352,0.0,72.0,386,25.4,433,72.0,72.0,0.1,1431.244865,18938513.0,19.2,19.6,0.548,8.1,66.4
1959,118.0,1,0.0,73.0,0,57.8,1,72.0,73.0,0.1,13134.4367,3969249.0,1.9,1.8,0.785,13.0,77.8
1975,275.0,10,0.0,67.0,38,48.6,12,74.0,73.0,0.6,,7919825.0,1.3,1.3,0.515,10.0,62.9
1991,146.0,2,0.0,93.0,0,5.2,3,89.0,93.0,0.2,419.367724,6639119.0,2.0,1.9,0.692,12.3,74.0
2007,123.0,8,0.0,9.0,4,55.6,10,88.0,9.0,0.1,63.343259,31376671.0,1.1,1.1,0.737,13.4,75.5
2023,211.0,52,0.0,6.0,619,25.4,66,79.0,6.0,0.1,2878.33837,11716359.0,1.0,9.7,0.679,11.7,68.5
2039,117.0,2,0.0,96.0,0,61.7,2,92.0,98.0,0.1,12565.9876,37986412.0,1.9,2.0,0.852,16.4,77.5
2055,76.0,0,0.0,98.0,8,61.6,0,98.0,98.0,0.1,1922.681,135876.0,0.7,0.5,0.841,16.6,81.1
2071,68.0,0,0.0,99.0,18,69.3,0,99.0,99.0,0.1,66346.52267,,5.2,4.9,0.855,13.4,78.2
2087,64.0,1,0.0,98.0,7,31.7,2,98.0,98.0,0.1,,,1.5,1.0,,,82.3
2103,157.0,1,0.0,88.0,0,53.4,1,88.0,87.0,0.1,,,2.7,2.8,,,72.1
2119,133.0,2,0.0,9.0,4,6.7,2,89.0,89.0,0.1,8958.788593,19815481.0,2.5,2.7,0.798,14.7,75.0
2135,222.0,13,0.0,97.0,843,6.5,15,97.0,97.0,0.1,9329.298351,1449687.0,2.3,2.3,0.805,15.0,75.0
2151,227.0,11,0.0,98.0,1,21.4,15,99.0,98.0,0.4,71.348397,11629553.0,5.7,5.7,0.493,10.8,66.1
2168,138.0,0,0.0,99.0,0,47.5,0,99.0,99.0,0.1,,,4.3,4.3,0.735,13.1,75.2
2184,156.0,0,0.0,98.0,0,54.1,0,97.0,98.0,0.1,,,3.5,3.4,0.72,13.3,73.2
2200,125.0,0,0.0,59.0,0,74.7,0,61.0,66.0,0.1,4149.363444,193759.0,0.2,0.1,0.702,12.9,74.0
2217,19.0,0,0.0,96.0,0,3.9,0,96.0,96.0,0.2,1624.63963,195553.0,5.5,5.3,0.565,11.2,67.5
2233,88.0,7,0.0,98.0,219,68.2,8,97.0,98.0,0.1,2732.86172,,7.8,7.6,0.845,16.1,74.5
2249,188.0,19,0.0,89.0,58,24.3,26,85.0,89.0,0.3,98.7256145,14976994.0,9.5,9.3,0.491,9.5,66.7
2265,121.0,1,0.0,94.0,383,6.0,1,95.0,95.0,0.1,5237.255334,795383.0,2.0,2.0,0.775,14.4,75.6
2281,168.0,0,0.0,98.0,0,37.4,0,97.0,97.0,0.1,1539.464,93419.0,5.7,6.0,0.781,14.1,73.2
2297,413.0,22,0.0,86.0,607,24.4,30,86.0,86.0,0.5,587.538233,723725.0,7.4,7.3,0.431,9.5,51.0
2313,55.0,0,0.0,96.0,0,33.2,0,96.0,96.0,0.1,53629.73746,,2.2,2.2,0.924,15.4,83.1
2329,19.0,0,0.0,96.0,1,59.1,0,96.0,96.0,0.1,,,1.2,1.2,0.842,15.0,76.7
2345,74.0,0,0.0,,18,6.1,0,95.0,95.0,0.1,2729.86383,263531.0,1.4,1.3,0.888,17.3,88.0
2361,177.0,0,0.0,98.0,0,5.5,0,99.0,98.0,0.1,1922.41388,587482.0,1.1,1.2,0.514,9.6,69.2
2377,312.0,50,0.0,42.0,7497,24.3,80,47.0,42.0,0.7,426.98537,,6.6,6.4,,,55.0
2393,328.0,42,0.0,75.0,17,51.1,52,75.0,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,62.9
2409,332.0,26,0.0,31.0,878,,39,41.0,31.0,3.4,758.725782,11882136.0,,,0.421,4.9,57.3
2425,56.0,1,0.0,97.0,115,66.6,1,97.0,97.0,0.1,25683.84565,46447697.0,0.6,0.5,0.882,17.7,82.8
2441,138.0,3,0.0,99.0,1568,23.4,3,99.0,99.0,0.1,3844.89123,2966.0,15.1,15.0,0.764,14.0,74.9
2457,225.0,58,0.0,93.0,3585,,85,93.0,93.0,0.3,2513.884661,3864783.0,,,0.488,7.2,64.1
2473,176.0,0,0.0,89.0,0,58.3,0,89.0,89.0,0.4,8818.982566,55328.0,3.5,3.5,0.723,12.7,71.6
2489,373.0,2,0.0,9.0,0,32.3,3,84.0,9.0,7.1,3136.92511,131911.0,4.0,4.1,0.541,11.4,58.9
2505,53.0,0,0.0,67.0,22,59.5,0,98.0,98.0,0.1,5585.25847,9799186.0,1.5,1.4,0.909,15.9,82.4
2521,49.0,0,0.0,,35,57.4,0,97.0,97.0,0.1,8989.8424,8282396.0,0.4,0.3,0.938,16.0,83.4
2537,293.0,6,0.0,41.0,45,57.1,8,5.0,41.0,0.1,,18734987.0,6.3,6.1,0.553,9.0,64.5
2553,161.0,10,0.0,96.0,3,4.7,11,96.0,96.0,0.2,918.6771543,8548651.0,3.6,3.7,0.625,11.3,69.7
2569,148.0,8,0.0,99.0,154,33.6,9,99.0,99.0,0.1,5814.863134,686576.0,7.7,7.7,0.738,13.6,74.9
2585,12.0,0,0.0,92.0,1,6.3,0,92.0,91.0,0.1,,,2.1,2.1,0.746,12.9,75.7
2601,152.0,2,0.0,76.0,43,17.4,2,75.0,76.0,0.1,1161.76935,124977.0,1.9,11.1,0.603,12.5,68.3
2617,287.0,13,0.0,88.0,20,24.3,20,88.0,88.0,1.0,551.138346,741682.0,6.5,6.2,0.484,12.0,59.9
2633,133.0,0,0.0,78.0,0,75.2,0,8.0,78.0,0.1,493.775387,16364.0,0.1,0.1,0.718,14.3,73.5
2649,17.0,0,0.0,9.0,0,47.1,0,88.0,96.0,0.3,17321.83373,13692.0,5.7,5.9,0.779,12.7,71.2
2665,1.0,3,0.0,98.0,16,61.2,3,98.0,98.0,0.1,3828.91589,11273661.0,6.5,6.4,0.723,14.6,75.3
2681,16.0,15,0.0,97.0,342,66.1,18,97.0,97.0,0.1,1979.52569,78271472.0,4.9,4.8,0.764,14.5,75.8
2697,215.0,6,0.0,99.0,0,48.6,7,99.0,99.0,0.1,6432.668768,5565284.0,3.3,3.3,0.688,10.8,66.3
2714,291.0,66,0.0,78.0,478,18.5,93,82.0,78.0,3.1,693.8963829,414487.0,5.6,5.6,0.488,10.0,62.3
2730,195.0,4,0.0,22.0,105,61.3,5,51.0,23.0,0.2,2124.662666,4515429.0,2.3,2.4,0.748,15.3,71.3
2746,75.0,1,0.0,99.0,347,64.2,1,99.0,99.0,0.1,3911.74689,,5.3,5.1,0.836,13.3,77.1
2762,69.0,3,0.0,,91,66.6,4,96.0,96.0,0.1,,,0.8,0.6,,,81.2
2778,279.0,85,0.0,98.0,30,23.8,119,96.0,98.0,1.4,,,6.7,6.5,,,61.8
2794,13.0,23,0.0,92.0,188,69.6,26,93.0,95.0,0.1,,,0.8,0.6,,,79.3
2810,116.0,0,0.0,95.0,0,64.0,0,95.0,95.0,0.1,15524.84247,3431552.0,1.5,1.4,0.794,15.5,77.0
2826,184.0,15,0.0,99.0,22,44.7,17,99.0,99.0,0.1,2137.576852,312989.0,3.0,3.1,0.697,12.1,69.4
2842,13.0,0,0.0,64.0,39,53.3,0,65.0,64.0,0.1,285.83414,26463.0,1.5,1.4,0.598,10.8,72.0
2858,157.0,9,0.0,87.0,0,62.1,10,87.0,87.0,0.1,,,1.6,1.5,0.769,14.3,74.1
2874,127.0,28,0.0,97.0,256,17.5,35,97.0,97.0,0.1,,,14.2,14.5,0.678,12.6,76.0
2890,224.0,37,0.0,69.0,468,41.3,47,63.0,69.0,0.1,,,13.6,13.4,0.499,9.0,65.7
2906,33.0,27,0.0,9.0,9,23.4,40,9.0,9.0,4.1,1313.889646,161587.0,6.3,6.1,0.576,12.5,61.8
2922,336.0,22,0.0,87.0,0,31.8,32,88.0,87.0,6.2,118.69383,15777451.0,5.6,5.5,0.507,10.3,67.0
